Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type
0,0,1,0,1,0,0,0,2,17,121500,46,3,0,1,1,1,0
1,0,1,0,0,0,0,1,3,23,315000,33,10,0,4,1,1,3
1,1,0,1,1,0,0,2,4,40,72000,33,5,4,4,1,1,4
0,1,1,0,0,0,0,0,2,39,216000,58,9,4,4,1,1,10
1,1,1,0,0,0,0,1,2,55,72000,42,0,0,4,3,1,12
0,0,1,0,0,1,0,1,2,24,180000,47,15,0,1,2,1,10
0,1,1,1,0,0,0,1,3,49,126000,36,2,4,4,0,1,15
1,0,1,1,0,0,0,1,3,20,103500,32,1,4,4,1,1,8
0,0,1,0,0,0,1,0,1,5,157500,60,0,1,4,4,1,12
1,1,0,0,0,0,0,0,2,12,225000,36,15,2,4,1,1,12
0,0,1,1,1,0,0,0,2,1,225000,52,10,4,4,1,3,12
1,1,1,0,1,0,0,1,3,35,315000,36,3,4,1,1,0,8
1,0,1,0,0,0,0,0,2,10,112500,42,9,4,4,1,1,10
0,1,0,0,0,0,0,0,2,26,112500,38,6,4,4,1,1,15
1,0,0,0,0,0,0,1,3,46,396000,30,4,4,2,1,1,12
0,1,1,0,1,1,0,0,1,37,225000,26,1,4,1,3,1,12
0,0,1,0,0,0,0,1,3,6,405000,34,12,2,1,1,1,3
0,1,1,0,0,0,0,0,2,32,157500,39,5,0,4,1,1,15
0,0,0,0,0,0,0,1,3,19,99000,35,14,0,4,1,1,8
0,1,0,0,0,0,0,2,4,34,225000,35,5,4,4,0,1,12
0,0,0,0,0,0,0,1,3,22,180000,49,17,0,4,1,1,15
1,0,0,0,1,0,0,0,1,20,180000,45,2,4,4,3,3,8
0,0,0,1,0,0,0,0,2,21,139500,23,1,0,4,0,1,12
0,0,1,0,1,0,0,0,1,37,202500,48,27,4,4,3,1,3
0,0,1,0,0,1,0,1,3,11,90000,26,3,2,1,1,1,3
1,0,1,0,0,0,0,1,3,42,225000,28,8,4,4,1,1,12
0,0,0,0,1,0,1,0,1,6,54000,59,0,1,4,4,1,12
1,1,0,0,0,0,0,1,3,53,292500,25,2,0,4,1,1,4
1,0,1,0,0,0,1,0,2,8,135000,63,0,1,1,1,1,12
0,0,1,0,0,0,1,0,1,4,126000,64,0,1,4,3,1,12
0,1,0,0,0,0,0,1,3,17,157500,30,3,4,4,0,2,15
0,0,1,0,1,0,1,0,2,12,76500,57,0,1,4,1,1,12
0,0,1,0,0,0,0,0,2,17,382500,31,3,0,2,1,2,0
0,1,1,0,1,0,1,0,2,9,270000,51,0,1,4,1,1,12
0,1,0,0,0,0,0,0,2,60,247500,40,5,0,1,1,1,6
0,0,1,1,1,1,0,0,2,39,202500,52,18,4,4,1,1,8
0,0,1,0,0,0,0,0,2,43,135000,51,6,0,4,1,1,15
1,0,0,0,1,0,1,1,3,12,135000,52,0,1,3,1,1,12
0,1,1,1,0,0,0,0,1,21,202500,49,4,4,1,3,1,8
1,1,0,1,1,0,0,0,2,3,81000,48,8,4,4,1,1,8
0,1,1,1,1,0,0,0,2,4,135000,54,12,4,1,0,1,10
1,0,1,1,0,0,0,0,2,24,315000,36,7,4,2,1,1,8
0,0,0,0,0,0,0,0,1,15,225000,32,3,4,4,2,1,15
0,0,1,0,0,0,1,0,1,0,94500,57,0,1,4,2,1,12
0,1,1,0,1,0,0,0,2,8,405000,50,10,0,2,1,1,12
1,0,1,0,0,1,0,0,2,1,216000,52,20,0,1,1,1,10
0,0,0,1,0,0,0,0,1,9,90000,23,0,4,1,3,5,16
1,0,1,0,0,0,0,1,3,45,112500,27,3,4,4,1,1,8
0,1,0,0,1,0,0,0,2,29,202500,40,22,4,4,1,1,11
1,1,0,1,0,0,0,2,4,3,180000,34,5,4,2,1,1,8
0,0,0,1,0,0,0,0,2,24,45000,50,8,4,1,1,1,0
0,0,0,0,0,0,0,0,1,4,126000,22,2,4,4,3,5,15
0,0,1,0,0,0,0,0,2,14,180000,57,7,0,4,1,1,12
1,1,0,0,1,0,0,2,3,45,157500,37,3,0,1,2,3,10
1,1,1,1,0,0,0,2,4,29,139500,47,15,4,4,1,1,4
0,1,1,0,1,1,0,0,1,0,112500,20,2,0,4,3,1,13
0,0,1,0,1,0,0,1,3,2,180000,45,1,4,4,1,1,17
0,0,0,0,0,0,0,1,3,37,135000,28,1,4,1,1,5,16
1,0,0,1,1,0,0,0,2,7,202500,56,0,0,4,1,1,17
0,0,0,0,0,0,0,1,3,18,135000,41,6,4,4,1,1,3
1,0,0,1,0,0,0,0,2,1,190399,28,3,0,4,1,1,3
1,1,1,1,0,0,0,1,3,28,225000,51,1,4,4,1,1,10
0,1,0,0,0,0,0,0,2,51,144000,46,9,0,1,1,1,12
1,1,0,1,1,0,0,1,2,42,99000,38,0,0,1,2,1,4
0,1,1,0,0,0,1,0,1,4,315000,57,0,1,4,3,1,12
