Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
1,1,1,1,0,0,0,0,2,15,427500,32,12,4,1,0,4,12,1
1,1,1,0,0,0,0,0,2,29,112500,58,3,4,4,1,1,17,0
0,0,1,0,1,1,0,0,1,4,270000,52,8,0,4,3,1,15,0
0,0,1,0,0,0,1,0,1,20,283500,61,0,1,1,2,1,12,0
1,1,1,1,1,1,0,0,2,5,270000,46,2,4,1,1,1,0,0
1,1,1,0,0,0,0,0,2,17,135000,48,3,0,4,1,1,8,0
0,1,0,0,0,0,0,0,2,25,130500,29,3,4,2,1,1,0,1
0,0,1,0,1,0,0,0,2,31,157500,27,4,4,4,1,1,8,1
0,0,1,0,0,0,0,1,2,44,112500,30,4,4,4,3,1,12,0
1,1,1,0,0,0,0,3,5,24,270000,34,3,4,4,1,1,8,0
1,0,1,0,0,0,0,1,3,39,405000,32,5,0,1,1,1,10,0
1,1,1,0,1,0,0,0,2,43,112500,56,12,0,4,1,1,4,0
0,1,1,0,0,0,0,2,4,39,135000,43,8,4,4,1,1,8,0
0,0,1,0,0,0,0,1,3,24,211500,44,19,2,4,0,1,3,0
1,1,1,0,1,0,0,0,2,10,360000,45,14,0,4,1,1,17,1
0,0,1,0,0,1,0,2,4,21,126000,33,4,0,1,1,1,10,0
0,0,1,0,0,0,1,0,1,40,315000,55,0,1,4,4,1,12,0
0,0,1,0,0,0,0,0,1,11,247500,46,3,0,1,2,4,3,0
0,0,1,0,0,0,0,0,1,7,297000,42,8,0,4,3,4,8,0
0,0,0,0,1,0,0,0,2,43,157500,37,13,0,1,1,1,6,1
1,0,1,1,1,0,0,0,2,12,135000,42,3,4,4,1,1,4,0
1,0,1,0,0,0,0,1,3,45,225000,28,7,4,4,1,1,12,0
0,1,1,0,0,0,0,0,2,4,135000,48,4,4,4,1,1,8,0
1,0,1,0,1,0,0,0,2,15,157500,43,2,4,4,1,1,12,1
0,0,1,0,0,0,1,0,2,49,112500,61,0,1,4,1,1,12,0
1,1,1,0,1,0,0,0,2,10,112500,57,6,2,4,1,1,4,0
0,1,1,1,1,0,0,0,1,30,270000,45,3,4,4,2,1,1,0
