Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
0,0,1,0,1,0,0,0,2,17,121500,46,3,0,1,1,1,0,1
1,0,1,0,0,0,0,1,3,23,315000,33,10,0,4,1,1,3,0
1,1,0,1,1,0,0,2,4,40,72000,33,5,4,4,1,1,4,0
0,1,1,0,0,0,0,0,2,39,216000,58,9,4,4,1,1,10,0
1,1,1,0,0,0,0,1,2,55,72000,42,0,0,4,3,1,12,1
0,0,1,0,0,1,0,1,2,24,180000,47,15,0,1,2,1,10,0
0,1,1,1,0,0,0,1,3,49,126000,36,2,4,4,0,1,15,0
1,0,1,1,0,0,0,1,3,20,103500,32,1,4,4,1,1,8,0
0,0,1,0,0,0,1,0,1,5,157500,60,0,1,4,4,1,12,0
1,1,0,0,0,0,0,0,2,12,225000,36,15,2,4,1,1,12,0
0,0,1,1,1,0,0,0,2,1,225000,52,10,4,4,1,3,12,0
1,1,1,0,1,0,0,1,3,35,315000,36,3,4,1,1,0,8,0
1,0,1,0,0,0,0,0,2,10,112500,42,9,4,4,1,1,10,0
0,1,0,0,0,0,0,0,2,26,112500,38,6,4,4,1,1,15,0
1,0,0,0,0,0,0,1,3,46,396000,30,4,4,2,1,1,12,0
0,1,1,0,1,1,0,0,1,37,225000,26,1,4,1,3,1,12,0
0,0,1,0,0,0,0,1,3,6,405000,34,12,2,1,1,1,3,0
0,1,1,0,0,0,0,0,2,32,157500,39,5,0,4,1,1,15,0
0,0,0,0,0,0,0,1,3,19,99000,35,14,0,4,1,1,8,0
0,1,0,0,0,0,0,2,4,34,225000,35,5,4,4,0,1,12,0
0,0,0,0,0,0,0,1,3,22,180000,49,17,0,4,1,1,15,0
1,0,0,0,1,0,0,0,1,20,180000,45,2,4,4,3,3,8,0
0,0,0,1,0,0,0,0,2,21,139500,23,1,0,4,0,1,12,1
0,0,1,0,1,0,0,0,1,37,202500,48,27,4,4,3,1,3,0
0,0,1,0,0,1,0,1,3,11,90000,26,3,2,1,1,1,3,0
1,0,1,0,0,0,0,1,3,42,225000,28,8,4,4,1,1,12,1
0,0,0,0,1,0,1,0,1,6,54000,59,0,1,4,4,1,12,0
1,1,0,0,0,0,0,1,3,53,292500,25,2,0,4,1,1,4,0
1,0,1,0,0,0,1,0,2,8,135000,63,0,1,1,1,1,12,0
0,0,1,0,0,0,1,0,1,4,126000,64,0,1,4,3,1,12,0
0,1,0,0,0,0,0,1,3,17,157500,30,3,4,4,0,2,15,0
0,0,1,0,1,0,1,0,2,12,76500,57,0,1,4,1,1,12,0
0,0,1,0,0,0,0,0,2,17,382500,31,3,0,2,1,2,0,1
0,1,1,0,1,0,1,0,2,9,270000,51,0,1,4,1,1,12,0
0,1,0,0,0,0,0,0,2,60,247500,40,5,0,1,1,1,6,0
0,0,1,1,1,1,0,0,2,39,202500,52,18,4,4,1,1,8,0
0,0,1,0,0,0,0,0,2,43,135000,51,6,0,4,1,1,15,0
1,0,0,0,1,0,1,1,3,12,135000,52,0,1,3,1,1,12,0
0,1,1,1,0,0,0,0,1,21,202500,49,4,4,1,3,1,8,1
1,1,0,1,1,0,0,0,2,3,81000,48,8,4,4,1,1,8,0
0,1,1,1,1,0,0,0,2,4,135000,54,12,4,1,0,1,10,0
1,0,1,1,0,0,0,0,2,24,315000,36,7,4,2,1,1,8,1
0,0,0,0,0,0,0,0,1,15,225000,32,3,4,4,2,1,15,0
0,0,1,0,0,0,1,0,1,0,94500,57,0,1,4,2,1,12,0
0,1,1,0,1,0,0,0,2,8,405000,50,10,0,2,1,1,12,0
1,0,1,0,0,1,0,0,2,1,216000,52,20,0,1,1,1,10,0
0,0,0,1,0,0,0,0,1,9,90000,23,0,4,1,3,5,16,1
1,0,1,0,0,0,0,1,3,45,112500,27,3,4,4,1,1,8,0
0,1,0,0,1,0,0,0,2,29,202500,40,22,4,4,1,1,11,0
1,1,0,1,0,0,0,2,4,3,180000,34,5,4,2,1,1,8,0
0,0,0,1,0,0,0,0,2,24,45000,50,8,4,1,1,1,0,0
0,0,0,0,0,0,0,0,1,4,126000,22,2,4,4,3,5,15,0
0,0,1,0,0,0,0,0,2,14,180000,57,7,0,4,1,1,12,0
1,1,0,0,1,0,0,2,3,45,157500,37,3,0,1,2,3,10,0
1,1,1,1,0,0,0,2,4,29,139500,47,15,4,4,1,1,4,0
0,1,1,0,1,1,0,0,1,0,112500,20,2,0,4,3,1,13,0
0,0,1,0,1,0,0,1,3,2,180000,45,1,4,4,1,1,17,0
0,0,0,0,0,0,0,1,3,37,135000,28,1,4,1,1,5,16,0
1,0,0,1,1,0,0,0,2,7,202500,56,0,0,4,1,1,17,0
0,0,0,0,0,0,0,1,3,18,135000,41,6,4,4,1,1,3,0
1,0,0,1,0,0,0,0,2,1,190399,28,3,0,4,1,1,3,1
1,1,1,1,0,0,0,1,3,28,225000,51,1,4,4,1,1,10,0
0,1,0,0,0,0,0,0,2,51,144000,46,9,0,1,1,1,12,0
1,1,0,1,1,0,0,1,2,42,99000,38,0,0,1,2,1,4,0
0,1,1,0,0,0,1,0,1,4,315000,57,0,1,4,3,1,12,0
0,0,0,0,0,0,0,1,3,29,225000,34,1,0,4,0,1,0,0
0,0,0,0,0,0,0,0,1,5,270000,51,1,4,4,4,1,2,0
0,0,0,0,0,0,0,1,3,6,157500,26,2,4,4,1,1,8,0
0,0,1,0,0,0,1,0,2,53,180000,58,0,1,4,1,1,12,1
0,1,1,0,1,0,1,0,2,17,72000,61,0,1,4,1,1,12,0
0,0,1,0,1,0,0,0,1,21,360000,51,23,4,1,2,1,10,1
1,0,1,0,0,0,0,0,1,26,391500,47,4,4,4,2,1,17,0
0,0,0,0,1,0,0,0,1,43,261000,64,27,4,1,2,1,12,0
0,0,1,0,0,0,0,2,3,9,270000,31,1,2,1,2,5,6,0
1,0,0,1,1,0,0,0,1,47,126000,34,5,4,1,3,1,3,0
0,1,1,0,0,0,1,0,2,30,202500,52,0,1,4,1,1,12,0
0,0,0,1,0,0,0,2,4,27,82350,33,11,4,2,1,5,1,0
0,1,1,0,0,0,0,1,3,23,225000,42,0,4,4,0,1,15,0
0,0,1,0,0,0,0,0,2,39,180000,50,7,4,4,1,1,8,0
0,1,1,0,0,0,0,2,4,6,94500,34,9,4,4,1,1,2,0
0,0,1,0,0,0,0,0,2,4,135000,52,0,4,4,1,1,11,0
1,0,1,0,0,0,0,1,3,11,135000,36,10,4,1,1,1,12,1
1,1,0,0,0,0,0,1,3,55,270000,45,18,0,4,1,3,10,0
0,0,1,1,1,0,0,0,1,52,202500,49,26,4,4,2,1,1,0
0,0,0,0,0,1,0,1,2,33,108000,34,9,4,4,4,1,15,0
1,1,0,0,0,0,0,0,1,51,337500,31,9,4,4,3,5,3,0
0,0,1,0,0,0,0,0,2,44,121500,40,16,4,4,1,1,11,0
0,1,1,0,1,0,1,0,2,16,225000,60,0,1,4,1,1,12,0
0,0,0,1,0,0,0,0,1,38,135000,28,3,2,1,3,1,0,0
0,1,1,0,0,0,0,0,2,3,270000,54,15,0,1,1,1,0,0
0,0,0,0,0,0,0,0,1,1,90000,42,0,4,4,3,1,8,0
1,1,1,0,0,0,0,1,3,38,157500,37,4,4,4,1,1,4,0
0,0,1,0,0,1,1,0,2,28,81000,59,0,1,4,1,1,12,0
0,0,1,0,0,0,0,0,1,44,225000,47,0,4,4,4,1,15,0
1,1,1,1,0,0,0,2,4,3,225000,51,17,0,1,1,1,10,0
0,0,1,1,1,0,0,0,2,42,180000,45,7,0,4,1,1,12,0
0,0,1,0,0,0,1,0,1,44,225000,64,0,1,4,4,1,12,1
0,0,0,0,1,0,1,0,2,5,67500,62,0,1,3,1,1,12,0
0,0,1,0,1,0,1,0,2,37,90000,66,0,1,4,1,1,12,0
0,0,0,1,1,0,0,0,2,3,270000,50,24,4,4,1,1,4,0
0,0,1,0,1,0,0,1,3,48,315000,44,11,4,4,1,1,3,0
0,0,0,1,0,0,0,1,2,27,157500,50,12,4,4,4,1,12,0
0,0,0,0,0,0,0,0,1,19,90000,23,1,0,4,3,2,6,1
0,0,0,0,1,0,0,2,4,33,112500,34,1,4,4,1,2,11,0
1,1,1,0,0,0,0,0,2,7,225000,32,6,2,1,1,1,12,0
0,0,1,1,0,1,0,0,2,1,112500,27,1,4,4,1,5,12,0
0,0,0,0,1,0,1,0,2,35,225000,59,0,1,1,1,1,12,0
0,0,0,0,0,0,0,0,1,26,157500,52,32,4,4,3,1,11,0
1,1,1,1,1,0,0,0,2,47,157500,35,1,0,4,1,1,8,0
0,1,1,0,1,0,0,0,2,38,225000,44,0,0,1,1,1,6,0
1,1,1,0,0,0,0,0,2,36,202500,56,14,4,1,1,1,10,0
1,0,1,0,0,0,0,0,2,29,202500,40,5,4,1,1,1,10,0
0,1,0,0,1,0,1,1,3,34,450000,54,0,1,4,0,1,12,0
